product_id,name,brand,mrp,selling_price,inventory,unit,category,ingestion_time
294780,"{'text': 'Dragon Fruit', 'color': {'type': 'black', 'tint': '900'}, 'font': {'size': '300', 'weight': 'semibold'}}",,"{'text': '₹138', 'color': {'type': 'grey', 'tint': '600'}, 'font': {'size': '200', 'weight': 'regular'}, 'is_markdown': 1}",,2,,,2026-03-07 23:26:19.816978
566165,"{'text': 'Royal Gala Apple (Italy / Poland) (Seb)', 'color': {'type': 'black', 'tint': '900'}, 'font': {'size': '300', 'weight': 'semibold'}}",,"{'text': '₹149', 'color': {'type': 'grey', 'tint': '600'}, 'font': {'size': '200', 'weight': 'regular'}, 'is_markdown': 1}",,3,,,2026-03-07 23:26:19.816978
540480,"{'text': 'Black & Green Grapes', 'color': {'type': 'black', 'tint': '900'}, 'font': {'size': '300', 'weight': 'semibold'}}",,"{'text': '₹169', 'color': {'type': 'grey', 'tint': '600'}, 'font': {'size': '200', 'weight': 'regular'}, 'is_markdown': 1}",,3,,,2026-03-07 23:26:19.816978
455721,"{'text': 'Red-Globe Grapes', 'color': {'type': 'black', 'tint': '900'}, 'font': {'size': '300', 'weight': 'semibold'}}",,"{'text': '₹155', 'color': {'type': 'grey', 'tint': '600'}, 'font': {'size': '200', 'weight': 'regular'}, 'is_markdown': 1}",,1,,,2026-03-07 23:26:19.818048
539992,"{'text': 'Kinnaur Apple', 'color': {'type': 'black', 'tint': '900'}, 'font': {'size': '300', 'weight': 'semibold'}}",,"{'text': '₹119', 'color': {'type': 'grey', 'tint': '600'}, 'font': {'size': '200', 'weight': 'regular'}, 'is_markdown': 1}",,4,,,2026-03-07 23:26:19.818048
548856,"{'text': 'Pomegranate - 1 piece (175-225 g)', 'color': {'type': 'black', 'tint': '900'}, 'font': {'size': '300', 'weight': 'semibold'}}",,"{'text': '₹72', 'color': {'type': 'grey', 'tint': '600'}, 'font': {'size': '200', 'weight': 'regular'}, 'is_markdown': 1}",,2,,,2026-03-07 23:26:19.818048
742769,"{'text': 'Pomegranate - 1 piece (175-225 g) - Pack of 2', 'color': {'type': 'black', 'tint': '900'}, 'font': {'size': '300', 'weight': 'semibold'}}",,"{'text': '₹145', 'color': {'type': 'grey', 'tint': '600'}, 'font': {'size': '200', 'weight': 'regular'}, 'is_markdown': 1}",,1,,,2026-03-07 23:26:19.818048
447625,"{'text': 'Ber Indian (Ber)', 'color': {'type': 'black', 'tint': '900'}, 'font': {'size': '300', 'weight': 'semibold'}}",,"{'text': '₹46', 'color': {'type': 'grey', 'tint': '600'}, 'font': {'size': '200', 'weight': 'regular'}, 'is_markdown': 1}",,6,,,2026-03-07 23:26:19.818048
602598,"{'text': 'Organically Grown Pomegranate (Anaar)', 'color': {'type': 'black', 'tint': '900'}, 'font': {'size': '300', 'weight': 'semibold'}}",,"{'text': '₹204', 'color': {'type': 'grey', 'tint': '600'}, 'font': {'size': '200', 'weight': 'regular'}, 'is_markdown': 1}",,1,,,2026-03-07 23:26:19.819836
623877,"{'text': 'Grapes Tricolor', 'color': {'type': 'black', 'tint': '900'}, 'font': {'size': '300', 'weight': 'semibold'}}",,"{'text': '₹152', 'color': {'type': 'grey', 'tint': '600'}, 'font': {'size': '200', 'weight': 'regular'}, 'is_markdown': 1}",,2,,,2026-03-07 23:26:19.820635
351191,"{'text': 'Rockit Apple - New Zealand', 'color': {'type': 'black', 'tint': '900'}, 'font': {'size': '300', 'weight': 'semibold'}}",,"{'text': '₹350', 'color': {'type': 'grey', 'tint': '600'}, 'font': {'size': '200', 'weight': 'regular'}, 'is_markdown': 1}",,4,,,2026-03-07 23:26:19.820635
