product_id,name,brand,mrp,selling_price,inventory,unit,category,ingestion_time
Collection,Collection,,,,,,,2026-03-07 22:55:55.727843
35792,Super Store Gurgaon Sector 30 ES138,,,,,,,2026-03-07 22:55:55.727843
1487,Vegetables & Fruits,,,,,,,2026-03-07 22:55:55.727843
1489,Fresh Vegetables,,,,,,,2026-03-07 22:55:55.727843
1503,Fresh Fruits,,,,,,,2026-03-07 22:55:55.727843
1447,Mangoes & Melons,,,,,,,2026-03-07 22:55:55.727843
482,Seasonal,,,,,,,2026-03-07 22:55:55.727843
278,Exotics,,,,,,,2026-03-07 22:55:55.727843
395,Freshly Cut & Sprouts,,,,,,,2026-03-07 22:55:55.727843
157,Frozen Veg,,,,,,,2026-03-07 22:55:55.727843
172,Frozen Peas & Corn,,,,,,,2026-03-07 22:55:55.727843
222,Frozen Fruits & Vegetables,,,,,,,2026-03-07 22:55:55.727843
1871,Leafies & Herbs,,,,,,,2026-03-07 22:55:55.727843
742,Trusted Organic,,,,,,,2026-03-07 22:55:55.727843
1452,Flowers & Leaves,,,,,,,2026-03-07 22:55:55.727843
39,Hydroponic,,,,,,,2026-03-07 22:55:55.727843
928,Combo & Recipes,,,,,,,2026-03-07 22:55:55.727843
1941,Fresh Juice & Dips,,,,,,,2026-03-07 22:55:55.727843
3989,All Fruits & Vegetables,,,,,,,2026-03-07 22:55:55.727843
4320,Apples & Pears,,,,,,,2026-03-07 22:55:55.727843
14,Dairy & Breakfast,,,,,,,2026-03-07 22:55:55.727843
922,Milk,,,,,,,2026-03-07 22:55:55.727843
1185,Fresh Milk,,,,,,,2026-03-07 22:55:55.727843
1090,Poly Milk,,,,,,,2026-03-07 22:55:55.727843
37,Tetra Milk,,,,,,,2026-03-07 22:55:55.727843
1091,Speciality Milk,,,,,,,2026-03-07 22:55:55.727843
953,Bread & Pav,,,,,,,2026-03-07 22:55:55.727843
31,Milk & White Breads,,,,,,,2026-03-07 22:55:55.727843
1097,Speciality Breads,,,,,,,2026-03-07 22:55:55.727843
198,Brown & Multigrain Breads,,,,,,,2026-03-07 22:55:55.727843
1956,"Buns, Pavs & Pizza Base",,,,,,,2026-03-07 22:55:55.727843
477,Fresh Bakery,,,,,,,2026-03-07 22:55:55.727843
2633,Paratha & Chapati,,,,,,,2026-03-07 22:55:55.727843
1200,Eggs,,,,,,,2026-03-07 22:55:55.727843
1389,Farm-Fresh Eggs,,,,,,,2026-03-07 22:55:55.727843
1778,High Protein & Brown Eggs,,,,,,,2026-03-07 22:55:55.727843
954,Flakes & Kids Cereals,,,,,,,2026-03-07 22:55:55.728855
1098,Flakes,,,,,,,2026-03-07 22:55:55.728855
1739,Kid's Cereals,,,,,,,2026-03-07 22:55:55.728855
