product_id,name,brand,mrp,selling_price,inventory,unit,category,ingestion_time
Collection,Collection,,,,,,,2026-02-11 23:46:05.731943
35792,Super Store Gurgaon Sector 30 ES138,,,,,,,2026-02-11 23:46:05.731943
1487,Vegetables & Fruits,,,,,,,2026-02-11 23:46:05.731943
1489,Fresh Vegetables,,,,,,,2026-02-11 23:46:05.731943
1503,Fresh Fruits,,,,,,,2026-02-11 23:46:05.731943
1447,Mangoes & Melons,,,,,,,2026-02-11 23:46:05.731943
482,Seasonal,,,,,,,2026-02-11 23:46:05.731943
278,Exotics,,,,,,,2026-02-11 23:46:05.731943
395,Freshly Cut & Sprouts,,,,,,,2026-02-11 23:46:05.731943
157,Frozen Veg,,,,,,,2026-02-11 23:46:05.731943
172,Frozen Peas & Corn,,,,,,,2026-02-11 23:46:05.731943
222,Frozen Fruits & Vegetables,,,,,,,2026-02-11 23:46:05.731943
1871,Leafies & Herbs,,,,,,,2026-02-11 23:46:05.731943
742,Trusted Organic,,,,,,,2026-02-11 23:46:05.731943
1452,Flowers & Leaves,,,,,,,2026-02-11 23:46:05.731943
39,Hydroponic,,,,,,,2026-02-11 23:46:05.731943
928,Combo & Recipes,,,,,,,2026-02-11 23:46:05.731943
1941,Fresh Juice & Dips,,,,,,,2026-02-11 23:46:05.731943
3989,All Fruits & Vegetables,,,,,,,2026-02-11 23:46:05.731943
4320,Apples & Pears,,,,,,,2026-02-11 23:46:05.731943
14,Dairy & Breakfast,,,,,,,2026-02-11 23:46:05.731943
922,Milk,,,,,,,2026-02-11 23:46:05.731943
1185,Fresh Milk,,,,,,,2026-02-11 23:46:05.731943
1090,Poly Milk,,,,,,,2026-02-11 23:46:05.731943
37,Tetra Milk,,,,,,,2026-02-11 23:46:05.731943
1091,Speciality Milk,,,,,,,2026-02-11 23:46:05.731943
953,Bread & Pav,,,,,,,2026-02-11 23:46:05.731943
31,Milk & White Breads,,,,,,,2026-02-11 23:46:05.731943
1097,Speciality Breads,,,,,,,2026-02-11 23:46:05.731943
198,Brown & Multigrain Breads,,,,,,,2026-02-11 23:46:05.731943
1956,"Buns, Pavs & Pizza Base",,,,,,,2026-02-11 23:46:05.731943
477,Fresh Bakery,,,,,,,2026-02-11 23:46:05.731943
2633,Paratha & Chapati,,,,,,,2026-02-11 23:46:05.731943
1200,Eggs,,,,,,,2026-02-11 23:46:05.731943
1389,Farm-Fresh Eggs,,,,,,,2026-02-11 23:46:05.731943
1778,High Protein & Brown Eggs,,,,,,,2026-02-11 23:46:05.731943
